"route","mod","aic","dAIC","z"
"124_11_057","fish",382.644776489397,2.00528336413112,NA
"124_11_058","tnegb",267.070468561146,0,5.51976146280164e-05
"124_11_058","plnorm",268.439529159539,1.36906059839288,NA
"124_11_058","fish",268.229886601363,1.15941804021742,NA
"124_11_065","tnegb",369.053137540128,0.17995954648859,0.00422968028919441
"124_11_065","plnorm",373.908692877757,5.03551488411711,NA
"124_11_065","fish",368.87317799364,0,NA
"124_11_068","tnegb",279.620375741063,0,0.00115942232562515
"124_11_068","plnorm",281.674955902635,2.05458016157166,NA
"124_11_068","fish",289.854038201455,10.2336624603919,NA
"124_11_069","tnegb",326.263710661339,2.40251858519326,0.00282040471333256
"124_11_069","plnorm",323.861192076146,0,NA
"124_11_069","fish",328.958819910619,5.09762783447292,NA
"124_11_071","tnegb",241.215356335114,0,0.0021429759434077
"124_11_071","plnorm",243.510507609077,2.29515127396348,NA
"124_11_071","fish",241.852057286228,0.636700951113852,NA
"124_11_072","tnegb",235.529878021685,0.299366798135111,0.00190065148873969
"124_11_072","plnorm",236.972734536823,1.74222331327317,NA
"124_11_072","fish",235.23051122355,0,NA
"124_11_074","tnegb",383.203452625172,0.893271503380049,0.00199543525564812
"124_11_074","plnorm",388.654089909613,6.34390878782114,NA
"124_11_074","fish",382.310181121792,0,NA
"124_11_075","tnegb",262.237803704147,1.99868971608214,2.63167179866892e-06
"124_11_075","plnorm",264.512347308776,4.27323332071171,NA
"124_11_075","fish",260.239113988065,0,NA
"124_11_081","tnegb",319.242207878149,2.00144172352861,0.00315194712084989
"124_11_081","plnorm",320.24612805826,3.00536190363897,NA
"124_11_081","fish",317.240766154621,0,NA
"124_11_085","tnegb",306.893219772225,0,8.60447140725561e-05
"124_11_085","plnorm",310.712875863834,3.8196560916096,NA
"124_11_085","fish",314.091747239958,7.19852746773353,NA
"124_11_126","tnegb",283.268816373948,0,0.00118794882693861
"124_11_126","plnorm",285.835015346769,2.56619897282161,NA
"124_11_126","fish",284.041332838361,0.772516464413116,NA
"124_11_137","tnegb",224.017330691313,1.98285099793478,0.00054213402694618
"124_11_137","plnorm",226.418084132698,4.38360443932038,NA
"124_11_137","fish",222.034479693378,0,NA
"124_11_167","tnegb",366.475408148688,0,1.7198777225051e-05
"124_11_167","plnorm",368.03015943535,1.55475128666239,NA
"124_11_167","fish",370.027275251046,3.55186710235847,NA
"124_11_198","tnegb",240.823286217416,0,2.11784029731018e-05
"124_11_198","plnorm",245.172894221507,4.34960800409067,NA
"124_11_198","fish",249.114678786116,8.29139256869951,NA
"124_11_204","tnegb",456.576978141213,0.179661897106598,1.8642616776423e-05
"124_11_204","plnorm",459.596581970398,3.19926572629123,NA
"124_11_204","fish",456.397316244107,0,NA
"124_11_208","tnegb",437.868054504862,0,0.00266691038909871
"124_11_208","plnorm",438.113091724622,0.245037219760036,NA
"124_11_208","fish",442.800305855184,4.93225135032208,NA
"124_11_212","tnegb",249.860388831016,1.62748943239734,0.000940934186441562
"124_11_212","plnorm",251.646143915889,3.41324451727053,NA
"124_11_212","fish",248.232899398619,0,NA
"124_11_213","tnegb",399.487904634176,1.21424922692501,4.14554124110743e-06
"124_11_213","plnorm",399.875261329452,1.60160592220143,NA
"124_11_213","fish",398.273655407251,0,NA
"124_11_220","tnegb",574.820325063173,1.26783902825639,0.000151091329451095
"124_11_220","plnorm",573.552486034917,0,NA
"124_11_220","fish",582.919061785665,9.36657575074867,NA
"124_11_222","tnegb",310.731279348649,0.0516617111653659,9.36325537155022e-05
"124_11_222","plnorm",310.679617637483,0,NA
"124_11_222","fish",311.276946276282,0.597328638798444,NA
"124_11_223","tnegb",411.489853395065,0,0.00243662093020977
"124_11_223","plnorm",418.861194323006,7.37134092794042,NA
"124_11_223","fish",412.436362003131,0.946508608065983,NA
"124_11_234","tnegb",373.834387818521,0.508914303720928,0.000152240843378933
"124_11_234","plnorm",373.325473514801,0,NA
"124_11_234","fish",374.655443860591,1.3299703457904,NA
"124_11_235","tnegb",356.308333391978,0,8.25751157359091e-12
"124_11_235","plnorm",359.814873976235,3.50654058425636,NA
"124_11_235","fish",366.700606340398,10.3922729484192,NA
"124_11_236","tnegb",291.093141797468,1.66841505502236,7.53371915845487e-06
"124_11_236","plnorm",289.424726742445,0,NA
"124_11_236","fish",295.6240474636,6.19932072115466,NA
"124_11_244","tnegb",403.096493305329,1.67875693036785,0.000314034637091525
"124_11_244","plnorm",401.417736374961,0,NA
"124_11_244","fish",409.66220989715,8.2444735221888,NA
"124_11_255","tnegb",310.49856007909,0.264745497588933,0.0018184081022643
"124_11_255","plnorm",310.233814581501,0,NA
"124_11_255","fish",313.271626103598,3.03781152209666,NA
"124_11_256","tnegb",334.170318645554,0.932115604355886,0.00174554947683831
"124_11_256","plnorm",337.713257064064,4.47505402286629,NA
"124_11_256","fish",333.238203041198,0,NA
"124_11_265","tnegb",416.890970225145,0,7.17074101586554e-07
"124_11_265","plnorm",422.609272547114,5.71830232196908,NA
"124_11_265","fish",421.673679121673,4.78270889652782,NA
"124_11_270","tnegb",453.336948164373,0,1.0315761508317e-06
"124_11_270","plnorm",459.325027722894,5.98807955852095,NA
"124_11_270","fish",455.355749349762,2.0188011853885,NA
"124_11_309","tnegb",236.371447486978,1.09417137646403,0.000104182025542111
"124_11_309","plnorm",238.417805916388,3.14052980587346,NA
"124_11_309","fish",235.277276110514,0,NA
"124_11_332","tnegb",198.580691762829,2.00929412282935,0.27195062508811
"124_11_332","plnorm",197.942971109296,1.37157346929567,NA
"124_11_332","fish",196.57139764,0,NA
"124_11_402","tnegb",373.512702825765,4.19088410941293,0.00297295100766089
"124_11_402","plnorm",369.321818716352,0,NA
"124_11_402","fish",372.997342424376,3.67552370802338,NA
"124_11_407","tnegb",305.403826326756,0,0.00448771600697546
"124_11_407","plnorm",307.751260008268,2.34743368151231,NA
"124_11_407","fish",305.656219590233,0.252393263477529,NA
"124_11_408","tnegb",395.355355018142,0.645056858271175,0.00762031347209331
"124_11_408","plnorm",394.710298159871,0,NA
"124_11_408","fish",400.91818000917,6.20788184929904,NA
"124_11_409","tnegb",403.571007304792,0,0.00039111310939674
"124_11_409","plnorm",403.899620801077,0.328613496284902,NA
"124_11_409","fish",405.392851224765,1.82184391997271,NA
"124_11_411","tnegb",342.248650948241,2.01282371413902,0.552426359211873
"124_11_411","plnorm",341.435900909874,1.2000736757721,NA
"124_11_411","fish",340.235827234102,0,NA
"124_11_413","tnegb",310.037849756101,0,0.000840221697476063
"124_11_413","plnorm",310.572513414055,0.534663657953274,NA
"124_11_413","fish",310.760283620486,0.722433864384413,NA
"124_11_419","tnegb",440.366335997968,0,7.05643569546581e-05
"124_11_419","plnorm",444.441135866037,4.07479986806914,NA
"124_11_419","fish",446.408338499144,6.04200250117674,NA
"124_11_420","tnegb",431.312391023679,2.01407969679559,0.0245864240485501
"124_11_420","plnorm",438.08348439141,8.78517306452619,NA
"124_11_420","fish",429.298311326883,0,NA
"124_11_454","tnegb",298.198673869877,2.17141240131554,0.000811010831211562
"124_11_454","plnorm",296.027261468562,0,NA
"124_11_454","fish",296.718872122045,0.691610653483394,NA
"124_11_608","tnegb",491.870784633236,0,0.00158062036524632
"124_11_608","plnorm",494.814115220028,2.943330586792,NA
"124_11_608","fish",492.081770557296,0.210985924059969,NA
"124_11_609","tnegb",307.232349303458,0,0.000156488018493369
"124_11_609","plnorm",308.268704043185,1.03635473972719,NA
"124_11_609","fish",315.504599415139,8.27225011168105,NA
"124_11_612","tnegb",319.207750361913,0.732700012522855,0.000449261644950247
"124_11_612","plnorm",319.633997752878,1.15894740348705,NA
"124_11_612","fish",318.475050349391,0,NA
"124_11_614","tnegb",257.949029968039,1.95743955463794,0.000131116981696052
"124_11_614","plnorm",259.257447822076,3.26585740867441,NA
"124_11_614","fish",255.991590413401,0,NA
"124_11_621","tnegb",444.219425689006,0,0.00237946761351172
"124_11_621","plnorm",444.701690416115,0.482264727108884,NA
"124_11_621","fish",446.525722440327,2.30629675132121,NA
"124_11_709","tnegb",265.445989768908,0.939583200364211,0.00119542200496776
"124_11_709","plnorm",264.506406568544,0,NA
"124_11_709","fish",270.644947252214,6.1385406836701,NA
"124_11_721","tnegb",310.943720655494,0,0.000254062889551878
"124_11_721","plnorm",313.24130219531,2.29758153981572,NA
"124_11_721","fish",313.820700849777,2.87698019428291,NA
"124_43_007","tnegb",348.610768863725,0.206984339549251,0.00162037250862383
"124_43_007","plnorm",353.35400374253,4.95021921835468,NA
"124_43_007","fish",348.403784524176,0,NA
"124_43_008","tnegb",404.778793588782,1.6761890062678,0.000787332883774664
"124_43_008","plnorm",406.468966495439,3.36636191292502,NA
"124_43_008","fish",403.102604582514,0,NA
"124_43_009","tnegb",290.338791764421,1.15601735032726,0.000569935596002463
"124_43_009","plnorm",294.584297126243,5.40152271214959,NA
"124_43_009","fish",289.182774414094,0,NA
"124_43_010","tnegb",244.329415759885,1.02628453326068,1.18588519058894e-06
